hgnc_id	gene	source_id	source_group_id	membership	membership_column	source_symbols
HGNC:60	ABCC9	griffin2023_table1_syndromic	griffin2023	1	Griffin_2023_table1_syndromic.csv	ABCC9
HGNC:60	ABCC9	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ABCC9
HGNC:60	ABCC9	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	ABCC9
HGNC:60	ABCC9	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	ABCC9
HGNC:67	ABCD3	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ABCD3
HGNC:67	ABCD3	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	ABCD3
HGNC:76	ABL1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	ABL1
HGNC:29609	ACP6	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ACP6
HGNC:130	ACTA2	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ACTA2
HGNC:130	ACTA2	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	ACTA2
HGNC:130	ACTA2	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	ACTA2
HGNC:130	ACTA2	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	ACTA2
HGNC:132	ACTB	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ACTB
HGNC:132	ACTB	sierant_dominant60	sierant2025	1	Sierant dominant 60	ACTB
HGNC:132	ACTB	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	ACTB
HGNC:132	ACTB	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	ACTB
HGNC:143	ACTC1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	ACTC1
HGNC:143	ACTC1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ACTC1
HGNC:143	ACTC1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	ACTC1
HGNC:143	ACTC1	griffin2023_curated_not_final	griffin2023	1	Griffin_2023_fully_curated_not_final_n196.csv	ACTC1
HGNC:143	ACTC1	gencc_clingen_submitter_2026_08_10	gencc2022	1	GenCC_data_Aug10_2026	ACTC1
HGNC:143	ACTC1	clingen_dosage_gene_2026_08_10	clingen_dosage	1	ClinGen_Dosage_GENE-only_10Aug26.csv	ACTC1
HGNC:171	ACVR1	chdgene_2026_08_10	chdgene	1	CHDGENE_table_10Aug26.csv	ACVR1
HGNC:171	ACVR1	griffin2023_supp1_candidates	griffin2023	1	Griffin_2023_Supp_Table_1_All_Candidate_Genes.csv	ACVR1
HGNC:171	ACVR1	griffin2023_supp2_curated	griffin2023	1	Griffin_2023_Supp_Table_2_All_Curated_Genes.csv	ACVR1
