hgnc_id	gene	ensembl_gene_id	approved_hgnc_symbol	previous_matrix_gene_symbol	source_symbols	normalization_status	id_mapping_status	id_mapping_source
HGNC:60	ABCC9	ENSG00000069431	ABCC9		ABCC9	approved	approved_symbol	HGNC complete set
HGNC:67	ABCD3	ENSG00000117528	ABCD3		ABCD3	approved	approved_symbol	HGNC complete set
HGNC:76	ABL1	ENSG00000097007	ABL1		ABL1	approved	approved_symbol	HGNC complete set
HGNC:29609	ACP6	ENSG00000162836	ACP6		ACP6	approved	approved_symbol	HGNC complete set
HGNC:130	ACTA2	ENSG00000107796	ACTA2		ACTA2	approved	approved_symbol	HGNC complete set
HGNC:132	ACTB	ENSG00000075624	ACTB		ACTB	approved	approved_symbol	HGNC complete set
HGNC:143	ACTC1	ENSG00000159251	ACTC1		ACTC1	approved	approved_symbol	HGNC complete set
HGNC:171	ACVR1	ENSG00000115170	ACVR1		ACVR1	approved	approved_symbol	HGNC complete set
HGNC:174	ACVR2B	ENSG00000114739	ACVR2B		ACVR2B	approved	approved_symbol	HGNC complete set
HGNC:175	ACVRL1	ENSG00000139567	ACVRL1		ACVRL1	approved	approved_symbol	HGNC complete set
HGNC:18060	ARX	ENSG00000004848	ARX		ARX	approved	approved_symbol	HGNC complete set
HGNC:195	ADAM17	ENSG00000151694	ADAM17		ADAM17	approved	approved_symbol	HGNC complete set
HGNC:19088	ASH1L	ENSG00000116539	ASH1L		ASH1L	approved	approved_symbol	HGNC complete set
HGNC:13201	ADAMTS10	ENSG00000142303	ADAMTS10		ADAMTS10	approved	approved_symbol	HGNC complete set
HGNC:18318	ASXL1	ENSG00000171456	ASXL1		ASXL1	approved	approved_symbol	HGNC complete set
HGNC:17111	ADAMTS19	ENSG00000145808	ADAMTS19		ADAMTS19	approved	approved_symbol	HGNC complete set
HGNC:23805	ASXL2	ENSG00000143970	ASXL2		ASXL2	approved	approved_symbol	HGNC complete set
HGNC:14631	ADAMTSL2	ENSG00000197859	ADAMTSL2		ADAMTSL2	approved	approved_symbol	HGNC complete set
HGNC:782	ATE1	ENSG00000107669	ATE1		ATE1	approved	approved_symbol	HGNC complete set
HGNC:15766	ADNP	ENSG00000101126	ADNP		ADNP	approved	approved_symbol	HGNC complete set
HGNC:794	ATIC	ENSG00000138363	ATIC		ATIC	approved	approved_symbol	HGNC complete set
HGNC:17869	AFF4	ENSG00000072364	AFF4		AFF4	approved	approved_symbol	HGNC complete set
HGNC:800	ATP1A2	ENSG00000018625	ATP1A2		ATP1A2	approved	approved_symbol	HGNC complete set
HGNC:24684	AGGF1	ENSG00000164252	AGGF1		AGGF1	approved	approved_symbol	HGNC complete set
HGNC:819	ATP4A	ENSG00000105675	ATP4A		ATP4A	approved	approved_symbol	HGNC complete set
HGNC:33784	AGMO	ENSG00000187546	AGMO		AGMO	approved	approved_symbol	HGNC complete set
HGNC:820	ATP4B	ENSG00000186009	ATP4B		ATP4B	approved	approved_symbol	HGNC complete set
HGNC:347	AHNAK	ENSG00000124942	AHNAK		AHNAK	approved	approved_symbol	HGNC complete set
HGNC:851	ATP6V1A	ENSG00000114573	ATP6V1A		ATP6V1A	approved	approved_symbol	HGNC complete set
HGNC:20437	AHSA2P	ENSG00000173209	AHSA2P	AHSA2	AHSA2	approved	previous_symbol	HGNC complete set
HGNC:886	ATRX	ENSG00000085224	ATRX		ATRX	approved	approved_symbol	HGNC complete set
HGNC:402	ALDH1A1	ENSG00000165092	ALDH1A1		ALDH1A1	approved	approved_symbol	HGNC complete set
HGNC:17978	B3GALT6	ENSG00000176022	B3GALT6		B3GALT6	approved	approved_symbol	HGNC complete set
HGNC:15472	ALDH1A2	ENSG00000128918	ALDH1A2		ALDH1A2	approved	approved_symbol	HGNC complete set
HGNC:923	B3GAT3	ENSG00000149541	B3GAT3		B3GAT3	approved	approved_symbol	HGNC complete set
HGNC:449	ALX3	ENSG00000156150	ALX3		ALX3	approved	approved_symbol	HGNC complete set
HGNC:20207	B3GLCT	ENSG00000187676	B3GLCT		B3GALTL;B3GLCT	alias collapsed	approved_symbol	HGNC complete set
HGNC:26837	AMER1	ENSG00000184675	AMER1		AMER1	approved	approved_symbol	HGNC complete set
HGNC:966	BBS1	ENSG00000174483	BBS1		BBS1	approved	approved_symbol	HGNC complete set
HGNC:17811	AMOTL1	ENSG00000166025	AMOTL1		AMOTL1	approved	approved_symbol	HGNC complete set
HGNC:26291	BBS10	ENSG00000179941	BBS10		BBS10	approved	approved_symbol	HGNC complete set
HGNC:24077	ANAPC10	ENSG00000164162	ANAPC10		ANAPC10	approved	approved_symbol	HGNC complete set
HGNC:26648	BBS12	ENSG00000181004	BBS12		BBS12	approved	approved_symbol	HGNC complete set
HGNC:484	ANGPT1	ENSG00000154188	ANGPT1		ANGPT1	approved	approved_symbol	HGNC complete set
HGNC:967	BBS2	ENSG00000125124	BBS2		BBS2	approved	approved_symbol	HGNC complete set
HGNC:15819	ANKRD1	ENSG00000148677	ANKRD1		ANKRD1	approved	approved_symbol	HGNC complete set
HGNC:969	BBS4	ENSG00000140463	BBS4		BBS4	approved	approved_symbol	HGNC complete set
HGNC:21316	ANKRD11	ENSG00000167522	ANKRD11		ANKRD11	approved	approved_symbol	HGNC complete set
HGNC:970	BBS5	ENSG00000163093	BBS5		BBS5	approved	approved_symbol	HGNC complete set
HGNC:26724	ANKS6	ENSG00000165138	ANKS6		ANKS6	approved	approved_symbol	HGNC complete set
HGNC:18758	BBS7	ENSG00000138686	BBS7		BBS7	approved	approved_symbol	HGNC complete set
HGNC:605	APOBEC2	ENSG00000124701	APOBEC2		APOBEC2	approved	approved_symbol	HGNC complete set
