hgnc_id	gene	chdgene_2026_08_10	griffin2023_table1_syndromic	griffin2023_table1_isolated	griffin2023_supp1_candidates	griffin2023_supp2_curated	griffin2023_supp3_denovo	griffin2023_supp4_lof	griffin2023_supp5_recessive	griffin2023_curated_not_final	sierant_dominant60	dong_recessive108	dong_observed_recessive23	gencc_clingen_submitter_2026_08_10	clingen_dosage_gene_2026_08_10
HGNC:60	ABCC9	0	1	0	1	1	0	0	0	0	0	0	0	1	0
HGNC:67	ABCD3	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:76	ABL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:29609	ACP6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:130	ACTA2	0	0	0	1	1	0	0	0	1	0	0	0	0	1
HGNC:132	ACTB	0	0	0	1	0	0	0	0	0	1	0	0	1	1
HGNC:143	ACTC1	1	0	0	1	1	0	0	0	1	0	0	0	1	1
HGNC:171	ACVR1	1	0	0	1	1	0	0	0	1	0	0	0	1	0
HGNC:174	ACVR2B	1	0	0	1	1	0	0	0	1	0	0	0	0	0
HGNC:175	ACVRL1	0	0	0	1	1	0	0	0	1	0	0	0	1	1
HGNC:18060	ARX	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:195	ADAM17	0	0	0	1	1	0	0	0	1	0	0	0	1	0
HGNC:19088	ASH1L	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:13201	ADAMTS10	1	1	0	1	1	0	0	0	0	0	1	0	0	0
HGNC:18318	ASXL1	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:17111	ADAMTS19	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:23805	ASXL2	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:14631	ADAMTSL2	0	0	0	0	0	0	0	0	0	0	1	0	0	1
HGNC:782	ATE1	0	0	0	1	1	0	0	0	1	0	0	0	0	0
HGNC:15766	ADNP	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:794	ATIC	0	0	0	1	0	0	0	0	0	0	1	1	0	0
HGNC:17869	AFF4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:800	ATP1A2	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:24684	AGGF1	0	0	0	1	1	0	0	0	1	0	0	0	0	0
HGNC:819	ATP4A	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:33784	AGMO	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:820	ATP4B	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:347	AHNAK	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HGNC:851	ATP6V1A	0	0	0	0	0	0	0	0	0	0	1	0	1	0
HGNC:20437	AHSA2P	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:886	ATRX	0	0	0	1	1	0	0	0	1	0	0	0	0	1
HGNC:402	ALDH1A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:17978	B3GALT6	0	0	0	1	0	0	0	0	0	0	1	0	1	1
HGNC:15472	ALDH1A2	1	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:923	B3GAT3	1	1	0	1	1	0	0	0	0	0	1	0	0	0
HGNC:449	ALX3	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:20207	B3GLCT	0	1	0	1	1	0	0	0	0	0	1	0	1	0
HGNC:26837	AMER1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:966	BBS1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:17811	AMOTL1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:26291	BBS10	0	0	0	1	1	0	0	0	1	0	0	0	1	0
HGNC:24077	ANAPC10	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:26648	BBS12	0	0	0	1	1	0	0	0	1	0	0	0	1	1
HGNC:484	ANGPT1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:967	BBS2	0	1	0	1	1	0	0	0	0	0	1	0	1	0
HGNC:15819	ANKRD1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:969	BBS4	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:21316	ANKRD11	1	0	0	1	1	0	0	0	1	1	0	0	0	1
HGNC:970	BBS5	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:26724	ANKS6	0	0	0	1	0	0	0	0	0	0	1	0	0	1
HGNC:18758	BBS7	0	0	0	1	0	0	0	0	0	0	0	0	1	1
HGNC:605	APOBEC2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:30000	BBS9	0	0	0	1	0	0	0	0	0	0	0	0	1	0
HGNC:29216	ARHGAP31	0	0	0	1	1	0	0	0	1	0	0	0	0	1
HGNC:13221	BCL11A	0	0	0	1	0	0	0	0	0	0	0	0	1	1
